French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
affaire,case
donner,give
type,type
donné,given
écoute,listen
dont,whose
trouve,find
perdu,lost
première,first
pouvoir,power
vieux,old
enfant,child
point,point
venu,came
suite,after
vers,towards
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
espère,hope
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
loin,far
gros,large
aura,will have
jouer,to play
